# l                Dl               -dDl             +dDl             
  2.00000000e+00   2.25895000e+02   1.32369000e+02   5.33062000e+02
  3.00000000e+00   9.36920000e+02   4.50471000e+02   1.21230800e+03
  4.00000000e+00   6.92238000e+02   2.94111000e+02   6.66469000e+02
  5.00000000e+00   1.50170500e+03   5.74432000e+02   1.15580400e+03
  6.00000000e+00   5.57611000e+02   2.01242000e+02   3.75763000e+02
  7.00000000e+00   1.15264300e+03   3.81584000e+02   6.70824000e+02
  8.00000000e+00   6.15846000e+02   1.91997000e+02   3.23446000e+02
  9.00000000e+00   6.97821000e+02   2.14638000e+02   3.49581000e+02
  1.00000000e+01   8.03658000e+02   2.32846000e+02   3.67945000e+02
  1.10000000e+01   8.69580000e+02   2.40260000e+02   3.71043000e+02
  1.20000000e+01   7.64074000e+02   2.04951000e+02   3.10576000e+02
  1.30000000e+01   5.99003000e+02   1.58593000e+02   2.35581000e+02
  1.40000000e+01   8.08139000e+02   1.99370000e+02   2.90751000e+02
  1.50000000e+01   1.02211100e+03   2.43487000e+02   3.49700000e+02
  1.60000000e+01   6.21292000e+02   1.50977000e+02   2.15798000e+02
  1.70000000e+01   1.03537800e+03   2.36167000e+02   3.32095000e+02
  1.80000000e+01   6.74593000e+02   1.56341000e+02   2.16872000e+02
  1.90000000e+01   9.51642000e+02   2.11554000e+02   2.90997000e+02
  2.00000000e+01   6.59863000e+02   1.44780000e+02   1.97637000e+02
  2.10000000e+01   6.01924000e+02   1.36050000e+02   1.85258000e+02
  2.20000000e+01   6.05295000e+02   1.31698000e+02   1.77041000e+02
  2.30000000e+01   7.48519000e+02   1.55938000e+02   2.08700000e+02
  2.40000000e+01   8.50496000e+02   1.75600000e+02   2.33216000e+02
  2.50000000e+01   8.14268000e+02   1.69433000e+02   2.24306000e+02
  2.60000000e+01   8.23803000e+02   1.64398000e+02   2.15355000e+02
  2.70000000e+01   1.00402200e+03   1.90293000e+02   2.47879000e+02
  2.80000000e+01   1.14988900e+03   2.15090000e+02   2.79078000e+02
  2.90000000e+01   9.79567000e+02   1.83071000e+02   2.36655000e+02
  3.00000000e+01   1.10280565e+03   2.74694273e+02   2.74694273e+02
 
